TC,DC,BD,NC,PP,NI,BC
28.11,21.52,6.2,0.39,23.59,5.61,4.8
23.12,16.58,6,0.55,18.52,1.54,8.2
27.75,10.05,8.8,8.9,10.67,1.28,6.5
31.75,16.22,7.2,8.33,17.63,0.41,7.3
21.37,8.74,3.1,9.54,11.06,0.34,6.2
21.83,12.72,8.6,0.51,18.69,1.91,13
8.21,7.06,0.9,0.25,15.6,7.38,8.2
32.08,6.74,8.8,16.53,7.85,4.66,1.7
37.32,11.17,3.7,22.44,12.81,0.51,5.2
34.83,10.06,1.4,23.37,10.55,0.22,4.6
25.89,16.38,8.3,1.2,21.53,0.91,10.7
18.83,11.2,7.2,0.42,19.52,2.15,11
20.31,8.71,5.1,6.49,13.16,2.49,9.4
10.29,5.12,4.4,0.77,10.8,5.8,4.5
37.84,14.44,4.3,19.09,15.33,0.17,1.5
27.45,9.26,0,18.19,9.79,0.03,0.5
29.06,10.18,0,18.89,11.03,0.17,3.2
28.09,11.44,7.8,8.85,13,0.36,9
23.95,3.38,7.8,12.76,5.37,0.27,8.7
25.23,11.59,8.7,4.94,16.45,1.36,11.2
14.92,3.03,6.8,5.09,5.73,0.34,7.4
28.06,13.44,0.4,14.22,14.81,0.15,4.2
21.28,2.3,5.9,13.08,2.5,0.29,7
27.18,6.25,7.3,13.62,7.17,0.28,8.1
24.32,14.9,6.7,2.71,16.01,0.43,9.2
21.43,9.59,9.9,1.94,15.05,1.41,12.5
20.67,7.6,8,5.07,11.08,0.54,9.7
17.67,9.19,1.5,6.98,13.11,0.63,7
34.21,6.02,0.3,27.89,11.05,0.06,7.2
31.7,10.57,7.5,13.63,11.01,0.15,0.6
32.11,15.62,1.2,15.29,18.18,0.16,2.9
30.58,13.37,0.4,16.81,15.04,0.08,2.5
23.58,13.06,7.6,2.92,18.22,0.52,7.4
26.96,17.18,7.5,2.28,21.53,0.57,7.4
9.26,7.77,1.2,0.28,16.43,1.14,11.9
31.17,15.95,9.6,5.63,18,0.62,3.8
21.28,15.98,1.1,4.2,25.2,1.06,12.1
45.98,19.47,11.2,15.3,22.91,4.79,5.7
23.38,19.22,3.3,0.87,30.21,3.55,13.4
31.28,22.25,8.7,0.34,28.22,1.43,8.3
9.89,7.09,2.6,0.21,15.11,8.85,8.9
21.52,1.98,1.6,0.01,12.03,14.69,1.4
40.75,24.81,7.9,8.04,26.9,0.13,2.8
46.25,29.49,0,16.76,32.47,0.07,6.1
48.92,25.52,10.1,13.3,26.63,0.4,7
45.53,7.45,0,38.03,7.66,0.02,0.2
48.02,29.7,1.6,16.71,32.7,0.16,3
37.92,21.92,2,14,23.55,0.27,2.8
8.8,2.25,3.1,3.45,7.06,0.51,5.5
39.54,17.33,5.6,16.61,19.36,0.17,4.1
36.76,26.59,4.2,5.96,30.95,0.55,5.5
38.27,28.59,3.8,5.89,32.52,0.21,5.3
25.74,20.63,3.7,1.42,33.52,0.24,12.7
26.97,21.86,5,0.11,33.19,2.03,9.4
9.46,5.5,3.9,0.06,20.22,7.26,7.5
8.7,4.78,3.9,0.02,18.99,9.18,5.1
38.01,18.14,8,11.87,19.66,0.14,1.6
25.47,20.19,2.4,2.89,33.39,1.65,12.6
29.51,20.19,3.8,5.52,29.22,2.99,6.1
23.29,11.09,7.9,4.3,12.39,0.24,2
22.35,12.15,3.3,6.9,14.03,0.39,6.1
28.61,16.88,9.7,2.03,21.63,0.72,11.1
24.75,0,0,0.12,12.7,10.18,11.2
21.32,9.93,9.8,1.59,12.88,5.2,4
30.25,23.64,6.2,0.41,31.46,0.4,11.5
29.21,18.02,10.9,0.29,23,0.33,5.9
23.01,19.57,3,0.44,33.71,0.5,13.8
26.5,21.05,5.3,0.16,31.66,3.32,8.2
